caseid,liveurban,vote16,protest,vote,most_important_issue,confecon,ideology,partyID,universal_income,family_separation,free_college,forgive_loans,race,birthyr,sex,education,weight,fttrump,ftobama,ftbiden,ftwarren,ftsanders,ftbuttigieg,ftharris,ftblack,ftwhite,fthisp,ftasian,ftmuslim,ftillegal,ftjournal,ftnato,ftun,ftice,ftnra,ftchina,ftnkorea,ftmexico,ftsaudi,ftukraine,ftiran,ftbritain,ftgermany,ftjapan,ftisrael,ftfrance,ftcanada,ftturkey,ftrussia,ftpales,ftimmig,partisanship,ftbiden_level,age,age2,ftbiden_float,ftbiden_cat,ftbiden_str,prefersbiden,worried_econ,favor_both
11,City,Someone else,False,Donald Trump,Political corruption,Not at all worried,Liberal,Democrat,Oppose a great deal,Oppose somewhat,Oppose a moderate amount,Oppose a moderate amount,Other,1944,Female,Post-graduate,.848213370657561,76.0,73.0,22.0,59.0,97.0,43.0,40.0,75.0,71.0,81.0,70.0,75.0,17.0,6,57.0,40.0,70.0,26.0,18,5.0,73.0,3.0,59.0,3.0,94,36,71,99.0,89.0,98,26.0,41.0,10.0,75.0,-54.0,dislike,76,5776,22.0,22.0,22.0,False,False,False
12,Suburb,Donald Trump,False,Donald Trump,Taxes are too high.,Not at all worried,Conservative,Independent,Oppose a great deal,Favor strongly,Oppose a great deal,Oppose a great deal,White,1947,Male,4-year degree, ,100.0,3.0,0.0,0.0,2.0,3.0,1.0,72.0,93.0,30.0,80.0,5.0,1.0,4,63.0,6.0,94.0,92.0,6,9.0,9.0,3.0,64.0,3.0,72,18,53,94.0,38.0,59,10.0,27.0,6.0,75.0,-100.0,dislike,73,5329,0.0,0.0,0.0,False,False,False
13,City,Donald Trump,False,Joe Biden,Assumenda mollit bla,Extremely worried,Moderate,Independent,Favor a moderate amount,Favor somewhat,Oppose a little,Neither favor nor oppose,White,1994,Female,2-year degree,1.08428147456979,25.0,66.0,31.0,86.0,,53.0,78.0,69.0,21.0,51.0,47.0,70.0,54.0,62,49.0,,,,65,42.0,26.0,33.0,51.0,53.0,78,61,46,76.0,38.0,36,10.0,67.0,50.0,34.0,6.0,dislike,26,676,31.0,31.0,31.0,True,True,False
14,Suburb,Donald Trump,False,Donald Trump,Illegal Immigration and Democratic insistence on trying to fight Donald Trump on EVERYTHING.,Not at all worried,Conservative,Republican,Oppose a great deal,Neither favor nor disagree,Oppose a great deal,Oppose a great deal,White,1950,Male,2-year degree,.891904784237684,100.0,2.0,6.0,2.0,1.0,15.0,0.0,90.0,90.0,90.0,90.0,11.0,30.0,5,1.0,6.0,90.0,90.0,5,1.0,50.0,2.0,5.0,1.0,60,20,70,90.0,20.0,55,10.0,26.0,1.0,90.0,-94.0,dislike,70,4900,6.0,6.0,6.0,False,False,False
15,City,Hillary Clinton,False,Joe Biden,people not not getting alone,Very worried,Moderate,Democrat,Neither favor nor oppose,Oppose strongly,Neither favor nor oppose,Favor a great deal,Black,1968,Female,High school graduate,1.00508399913684,3.0,100.0,99.0,100.0,100.0,81.0,91.0,100.0,89.0,89.0,81.0,63.0,84.0,85,52.0,69.0,60.0,40.0,51,50.0,52.0,52.0,80.0,31.0,90,64,54,52.0,89.0,94,47.0,10.0,84.0,88.0,96.0,like,52,2704,99.0,99.0,99.0,True,False,False
16,City,Hillary Clinton,False,Probably will not vote,Money terrorism,A little worried,Conservative,Democrat,Oppose a great deal,Oppose strongly,Neither favor nor oppose,Neither favor nor oppose,Hispanic,1972,Female,High school graduate,1.9846866466803,4.0,62.0,29.0,27.0,23.0,40.0,35.0,13.0,26.0,89.0,17.0,13.0,70.0,42,,42.0,31.0,,20,19.0,76.0,38.0,26.0,22.0,32,38,35,20.0,39.0,76,35.0,22.0,30.0,98.0,25.0,dislike,48,2304,29.0,29.0,29.0,True,False,False
17,City,Someone else,False,Probably will not vote,Homelessness economy,A little worried,Liberal,Democrat,Oppose a little,Neither favor nor disagree,Favor a great deal,Favor a great deal,Black,1955,Female,Post-graduate,1.07625987865926,0.0,99.0,1.0,4.0,80.0,,,51.0,51.0,54.0,50.0,50.0,40.0,51,4.0,50.0,1.0,3.0,52,5.0,52.0,50.0,51.0,49.0,50,51,51,50.0,50.0,50,50.0,50.0,51.0,51.0,1.0,dislike,65,4225,1.0,1.0,1.0,True,False,False
18,Rural,Donald Trump,False,Donald Trump,The Treasonous Democrat Party!,Not at all worried,Conservative,Republican,Oppose a great deal,Favor somewhat,Oppose a great deal,Oppose a great deal,Other,1954,Male,4-year degree,.663904537696459,100.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,81.0,82.0,100.0,63.0,0.0,0,0.0,1.0,99.0,91.0,50,6.0,78.0,25.0,60.0,0.0,78,60,100,97.0,40.0,85,59.0,60.0,0.0,0.0,-100.0,dislike,66,4356,0.0,0.0,0.0,False,False,False
19,Town,Donald Trump,False,Donald Trump,the lame stream media,Not at all worried,Conservative,Republican,Oppose a great deal,Favor strongly,Oppose a great deal,Oppose a great deal,White,1937,Male,High school graduate,.878328109180257,100.0,1.0,0.0,0.0,0.0,1.0,1.0,75.0,94.0,85.0,99.0,10.0,0.0,0,70.0,51.0,100.0,100.0,31,0.0,50.0,1.0,50.0,0.0,100,60,99,99.0,50.0,86,20.0,16.0,0.0,5.0,-100.0,dislike,83,6889,0.0,0.0,0.0,False,False,False
20,City,Hillary Clinton,False,Joe Biden,Differences between Americans as a whole we are more divided than ever.,A little worried,,,Favor a moderate amount,Oppose strongly,Oppose a moderate amount,Favor a little,Black,1979,Female,4-year degree,1.2643077984045,0.0,100.0,70.0,80.0,51.0,75.0,95.0,94.0,51.0,73.0,52.0,70.0,75.0,54,53.0,54.0,41.0,38.0,50,30.0,50.0,31.0,75.0,51.0,56,72,51,45.0,78.0,87,47.0,3.0,53.0,91.0,70.0,neutral,41,1681,70.0,70.0,70.0,True,False,False
21,Town,Someone else,False,Joe Biden,Climate change,Moderately worried,Liberal,Democrat,Favor a little,Oppose strongly,Favor a moderate amount,Favor a little,White,1954,Female,Some college,1.03170391458116,3.0,73.0,90.0,90.0,62.0,89.0,71.0,79.0,80.0,80.0,78.0,79.0,42.0,40,59.0,59.0,20.0,9.0,19,12.0,69.0,50.0,71.0,41.0,61,59,51,65.0,61.0,91,51.0,9.0,49.0,71.0,87.0,like,66,4356,90.0,90.0,90.0,True,True,True
22,Rural,Donald Trump,False,Donald Trump,Democrats,Not at all worried,Conservative,Republican,Oppose a great deal,Favor somewhat,Oppose a great deal,Oppose a great deal,White,1950,Male,High school graduate,.971402016649825,88.0,2.0,31.0,9.0,1.0,6.0,9.0,42.0,79.0,51.0,61.0,3.0,6.0,11,60.0,22.0,89.0,81.0,20,2.0,50.0,30.0,60.0,2.0,90,71,60,93.0,63.0,89,18.0,60.0,31.0,69.0,-57.0,dislike,70,4900,31.0,31.0,31.0,False,False,False
23,City,Donald Trump,False,Donald Trump,The stupidity of congress!,Not at all worried,Conservative,Republican,Oppose a little,Oppose somewhat,Oppose a moderate amount,Oppose a moderate amount,White,1947,Female,2-year degree,.939321412825532,99.0,4.0,6.0,3.0,6.0,7.0,7.0,71.0,85.0,84.0,70.0,40.0,2.0,9,11.0,11.0,80.0,60.0,5,3.0,31.0,33.0,21.0,0.0,60,60,50,100.0,22.0,80,7.0,50.0,41.0,85.0,-93.0,dislike,73,5329,6.0,6.0,6.0,False,False,False
24,Town,Hillary Clinton,False,Joe Biden,"The tea party led-by-the-nose republican party. They are the reason the Democratic Party has moved to the extreme left. They are the reason I HAVE MOVED TO THE LEFT!!! I used to pride myself on voting for the candidate I thought was best qualified for the office. There hasn't been a Republican on the ballot I could stomach since Reagan. I thought about voting for John McCain but then the Republican Party saddled him with that Alaskan woman without a brain. Besides, when I learned about Obama I thought he would make an even better President than Colonel McCain. (I'm a Nam Vet and admired his strength and determination when he was a POW.)",Very worried,Moderate,Democrat,Favor a moderate amount,Oppose strongly,Favor a moderate amount,Favor a moderate amount,White,1947,Male,2-year degree, ,3.0,100.0,81.0,83.0,86.0,80.0,60.0,85.0,85.0,86.0,86.0,86.0,71.0,86,85.0,85.0,45.0,21.0,60,3.0,84.0,45.0,84.0,46.0,95,85,86,65.0,86.0,86,40.0,31.0,60.0,86.0,78.0,like,73,5329,81.0,81.0,81.0,True,False,True
25,Town,Did not vote,False,Joe Biden,President Trump,Moderately worried,Moderate,Democrat,Favor a little,Oppose strongly,Oppose a little,Neither favor nor oppose,White,1943,Male,Some college,.88916489741815,5.0,75.0,86.0,60.0,46.0,62.0,32.0,94.0,96.0,94.0,84.0,75.0,32.0,66,71.0,50.0,60.0,19.0,41,26.0,68.0,62.0,80.0,28.0,94,74,59,89.0,72.0,93,60.0,38.0,60.0,89.0,81.0,like,77,5929,86.0,86.0,86.0,True,True,False
26,Town,Donald Trump,False,Donald Trump,Corruption,A little worried,Conservative,Republican,Oppose a great deal,Neither favor nor disagree,Oppose a great deal,Oppose a great deal,White,1980,Female,4-year degree,1.02274263069667,100.0,1.0,0.0,2.0,17.0,31.0,1.0,53.0,52.0,53.0,50.0,51.0,0.0,41,49.0,47.0,84.0,83.0,1,0.0,50.0,0.0,40.0,1.0,80,63,57,90.0,75.0,84,3.0,3.0,1.0,100.0,-100.0,dislike,40,1600,0.0,0.0,0.0,False,False,False
27,Suburb,Hillary Clinton,False,Donald Trump,health care,A little worried,Moderate,Independent,Neither favor nor oppose,Neither favor nor disagree,Oppose a little,Oppose a little,Other,1953,Female,4-year degree, ,60.0,70.0,50.0,70.0,70.0,65.0,70.0,90.0,90.0,90.0,100.0,50.0,5.0,10,55.0,15.0,50.0,80.0,50,45.0,55.0,55.0,50.0,10.0,100,95,100,90.0,85.0,100,55.0,80.0,50.0,100.0,-10.0,neutral,67,4489,50.0,50.0,50.0,False,False,False
28,Town,Hillary Clinton,False,Joe Biden,Climate change,Extremely worried,Liberal,Democrat,Favor a great deal,Oppose strongly,Favor a moderate amount,Favor a great deal,Other,1944,Female,4-year degree,1.01184109114119,2.0,91.0,49.0,96.0,100.0,87.0,76.0,51.0,52.0,50.0,46.0,45.0,62.0,99,99.0,49.0,0.0,0.0,31,6.0,73.0,7.0,64.0,56.0,92,85,78,25.0,87.0,99,38.0,3.0,52.0,96.0,47.0,neutral,76,5776,49.0,49.0,49.0,True,True,True
29,Suburb,Donald Trump,False,Donald Trump,getting rid of idiots in congress,Not at all worried,Conservative,Independent,Oppose a great deal,Oppose strongly,Oppose a great deal,Oppose a great deal,Hispanic,1951,Male,Post-graduate,.537829830869615,100.0,1.0,1.0,1.0,0.0,1.0,0.0,41.0,41.0,31.0,40.0,50.0,22.0,0,20.0,0.0,90.0,51.0,10,0.0,32.0,49.0,80.0,0.0,90,91,80,90.0,56.0,91,50.0,21.0,1.0,50.0,-99.0,dislike,69,4761,1.0,1.0,1.0,False,False,False
30,City,Someone else,False,Donald Trump,Immigrants,Moderately worried,Moderate,Democrat,Favor a great deal,Oppose strongly,Favor a moderate amount,Favor a great deal,Black,1981,Female,Some college,.684543115579765,88.0,7.0,7.0,,19.0,,,98.0,41.0,16.0,69.0,3.0,0.0,39,17.0,34.0,66.0,32.0,41,50.0,28.0,8.0,13.0,2.0,44,39,47,23.0,50.0,68,13.0,3.0,3.0,2.0,-81.0,dislike,39,1521,7.0,7.0,7.0,False,True,True
31,Suburb,Donald Trump,False,Joe Biden,Unity,A little worried,Moderate,Republican,Oppose a great deal,Oppose strongly,Oppose a great deal,Oppose a moderate amount,White,1940,Female,High school graduate,.968155932229058,2.0,60.0,75.0,9.0,11.0,90.0,39.0,59.0,69.0,59.0,59.0,59.0,50.0,61,50.0,50.0,41.0,10.0,55,30.0,65.0,60.0,50.0,49.0,69,67,56,50.0,60.0,76,56.0,46.0,51.0,85.0,73.0,like,80,6400,75.0,75.0,75.0,True,False,False
32,Rural,Hillary Clinton,True,Joe Biden,Climate change......it is the most important problem facing this planet.,A little worried,Liberal,Democrat,Oppose a little,Oppose strongly,Favor a little,Favor a little,Hispanic,1938,Female,4-year degree,.749070570522022,1.0,100.0,73.0,47.0,75.0,50.0,51.0,100.0,100.0,100.0,100.0,100.0,61.0,63,99.0,90.0,46.0,63.0,13,1.0,67.0,29.0,97.0,12.0,90,82,81,57.0,39.0,100,44.0,9.0,59.0,100.0,72.0,like,82,6724,73.0,73.0,73.0,True,False,False
33,City,Hillary Clinton,False,Joe Biden,Donald Trump,Moderately worried,Moderate,Democrat,Favor a moderate amount,Oppose strongly,Favor a moderate amount,Favor a great deal,Black,1965,Male,Post-graduate,.933382507604407,0.0,100.0,99.0,99.0,94.0,97.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100,100.0,100.0,20.0,0.0,70,0.0,100.0,4.0,89.0,31.0,99,99,100,84.0,96.0,100,9.0,9.0,95.0,100.0,99.0,like,55,3025,99.0,99.0,99.0,True,True,True
34,Suburb,Donald Trump,False,Donald Trump,Illegal immigration,A little worried,Conservative,Independent,Oppose a great deal,Neither favor nor disagree,Oppose a great deal,Oppose a great deal,White,1944,Male,High school graduate,.971402016649825,100.0,9.0,11.0,1.0,1.0,6.0,6.0,69.0,82.0,79.0,95.0,30.0,8.0,1,36.0,13.0,98.0,100.0,12,1.0,40.0,28.0,47.0,0.0,78,55,86,85.0,11.0,88,10.0,15.0,1.0,75.0,-89.0,dislike,76,5776,11.0,11.0,11.0,False,False,False
35,Suburb,Hillary Clinton,False,Joe Biden,Polarization between the political stances.,A little worried,Liberal,Democrat,Oppose a great deal,Oppose strongly,Oppose a little,Favor a little,White,1945,Female,Post-graduate,1.1549066711491,1.0,90.0,91.0,60.0,37.0,85.0,72.0,48.0,63.0,47.0,54.0,45.0,46.0,84,96.0,82.0,21.0,16.0,10,10.0,53.0,10.0,59.0,37.0,86,79,54,83.0,84.0,99,30.0,38.0,53.0,88.0,90.0,like,75,5625,91.0,91.0,91.0,True,False,False
36,Suburb,Donald Trump,False,Donald Trump,The squabble between parties,Not at all worried,,Republican,Favor a little,Neither favor nor disagree,Neither favor nor oppose,Neither favor nor oppose,White,1944,Female,High school graduate,.929783697332345,89.0,39.0,18.0,20.0,21.0,30.0,10.0,82.0,91.0,50.0,49.0,50.0,6.0,50,51.0,50.0,50.0,61.0,50,34.0,9.0,9.0,11.0,8.0,71,51,50,31.0,63.0,60,11.0,41.0,13.0,71.0,-71.0,dislike,76,5776,18.0,18.0,18.0,False,False,False
37,Rural,Donald Trump,False,Donald Trump,Socialist democrats,Not at all worried,Conservative,Republican,Oppose a great deal,Favor strongly,Oppose a great deal,Oppose a great deal,White,1940,Male,High school graduate,.878328109180257,100.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,99.0,50.0,0.0,0.0,0.0,0,0.0,0.0,90.0,100.0,0,0.0,14.0,1.0,0.0,0.0,61,10,72,95.0,0.0,16,0.0,57.0,0.0,56.0,-100.0,dislike,80,6400,0.0,0.0,0.0,False,False,False
38,Town,Donald Trump,False,Donald Trump,illegal immigration,Not at all worried,Conservative,Republican,Oppose a great deal,Neither favor nor disagree,Oppose a great deal,Oppose a great deal,White,1936,Male,Post-graduate,.817754440786381,98.0,0.0,10.0,5.0,6.0,6.0,6.0,50.0,50.0,50.0,50.0,33.0,5.0,6,75.0,6.0,95.0,98.0,5,4.0,40.0,33.0,61.0,4.0,90,66,60,90.0,75.0,90,33.0,10.0,60.0,95.0,-88.0,dislike,84,7056,10.0,10.0,10.0,False,False,False
39,City,Hillary Clinton,False,Joe Biden,"Currently, that Republican Senators are ignoring their duty and making a mockery of the impeachment process, and thus, mocking the U.S. Constitution.",Moderately worried,Liberal,Democrat,Favor a great deal,Oppose strongly,Favor a moderate amount,Favor a moderate amount,White,1945,Male,Post-graduate,.826789085004023,2.0,91.0,70.0,100.0,90.0,86.0,51.0,50.0,50.0,50.0,50.0,50.0,50.0,60,90.0,80.0,50.0,20.0,25,15.0,50.0,41.0,61.0,30.0,70,70,75,56.0,70.0,90,41.0,31.0,40.0,50.0,68.0,neutral,75,5625,70.0,70.0,70.0,True,True,True
40,Suburb,Someone else,False,Someone else,uncertainity,Moderately worried,Moderate,Republican,Oppose a great deal,Neither favor nor disagree,Oppose a great deal,Oppose a great deal,White,1953,Male,4-year degree, ,48.0,7.0,20.0,2.0,46.0,4.0,7.0,50.0,88.0,60.0,53.0,50.0,8.0,3,62.0,69.0,88.0,56.0,17,5.0,16.0,38.0,52.0,3.0,78,85,56,17.0,65.0,94,39.0,5.0,90.0,100.0,-28.0,dislike,67,4489,20.0,20.0,20.0,False,True,False
41,Town,Hillary Clinton,False,Joe Biden,"As a former ""R"", I think that the Tea Party has been the most divisive movement in my lifetime. Sure the left has some renegades, but the Lindsay Grahams think Trump is Jesus Christ.",A little worried,Moderate,Democrat,Oppose a moderate amount,Oppose strongly,Neither favor nor oppose,Favor a moderate amount,White,1943,Male,4-year degree,1.02441840964603,5.0,86.0,92.0,53.0,41.0,91.0,84.0,72.0,74.0,68.0,72.0,67.0,39.0,88,83.0,82.0,50.0,31.0,41,6.0,51.0,20.0,66.0,16.0,90,83,85,62.0,81.0,90,68.0,19.0,58.0,81.0,87.0,like,77,5929,92.0,92.0,92.0,True,False,False
42,Town,Donald Trump,False,Donald Trump,Health care,Moderately worried,Moderate,Republican,Oppose a great deal,Neither favor nor disagree,Oppose a great deal,Oppose a great deal,White,1947,Male,4-year degree,.904529295661614,70.0,14.0,46.0,0.0,2.0,1.0,4.0,93.0,100.0,98.0,88.0,34.0,46.0,18,29.0,28.0,49.0,50.0,19,28.0,60.0,3.0,49.0,3.0,100,47,100,19.0,44.0,97,45.0,40.0,6.0,96.0,-24.0,neutral,73,5329,46.0,46.0,46.0,False,True,False
43,City,Donald Trump,False,Donald Trump,Illegal immigration,A little worried,Conservative,Republican,Oppose a great deal,Neither favor nor disagree,Oppose a great deal,Oppose a great deal,White,1940,Male,4-year degree,.947312929381105,63.0,23.0,19.0,17.0,18.0,24.0,6.0,34.0,59.0,38.0,48.0,20.0,12.0,34,31.0,38.0,51.0,31.0,24,24.0,18.0,50.0,46.0,9.0,31,20,44,47.0,52.0,47,29.0,17.0,19.0,66.0,-44.0,dislike,80,6400,19.0,19.0,19.0,False,False,False
44,City,Donald Trump,False,Donald Trump,Both debt and deficit.,A little worried,Conservative,Republican,Oppose a great deal,Oppose somewhat,Oppose a great deal,Oppose a great deal,White,1937,Male,Some college,.915515272952024,90.0,2.0,26.0,6.0,11.0,21.0,11.0,90.0,90.0,90.0,91.0,17.0,41.0,28,90.0,30.0,90.0,91.0,21,45.0,51.0,30.0,50.0,36.0,90,89,90,90.0,86.0,90,40.0,41.0,37.0,41.0,-64.0,dislike,83,6889,26.0,26.0,26.0,False,False,False
45,City,Donald Trump,False,Donald Trump,Funding illegal immigration,A little worried,Conservative,Republican,Oppose a great deal,Favor somewhat,Oppose a great deal,Oppose a great deal,Other,1957,Male,4-year degree,.663904537696459,100.0,7.999999999999993,7.0,16.0,27.0,18.0,7.0,51.0,48.0,48.0,68.0,10.0,0.0,27,9.0,4.0,90.0,87.0,29,28.0,50.0,44.0,50.0,15.0,47,53,67,91.0,59.0,68,65.0,36.0,26.0,75.0,-93.0,dislike,63,3969,7.0,7.0,7.0,False,False,False
46,Suburb,Donald Trump,False,Donald Trump,"The corruption in Washington. Drugs, Crime, partisan politics.",Not at all worried,Moderate,Republican,Oppose a great deal,Favor somewhat,Oppose a great deal,Oppose a great deal,White,1941,Male,2-year degree,.928713753877035,99.0,28.0,20.0,2.0,6.0,8.0,17.0,98.0,96.0,97.0,89.0,73.0,0.0,19,27.0,8.0,100.0,69.0,60,16.0,60.0,50.0,50.0,0.0,88,99,90,98.0,50.0,89,50.0,61.0,2.0,100.0,-79.0,dislike,79,6241,20.0,20.0,20.0,False,False,False
47,Suburb,Donald Trump,False,Donald Trump,The corruption of our government officials & press.,A little worried,Conservative,Republican,Oppose a great deal,Neither favor nor disagree,Oppose a great deal,Oppose a great deal,White,1949,Female,Some college,.964187113748541,91.0,7.0,2.0,1.0,0.0,10.0,10.0,71.0,71.0,71.0,71.0,41.0,11.0,11,41.0,3.0,80.0,72.0,11,17.0,51.0,11.0,65.0,13.0,71,49,70,96.0,64.0,75,11.0,7.0,10.0,91.0,-89.0,dislike,71,5041,2.0,2.0,2.0,False,False,False
48,Town,Donald Trump,False,Donald Trump,"Partisanship, lack of civil discourse",Not at all worried,Conservative,Republican,Oppose a great deal,Oppose somewhat,Oppose a great deal,Oppose a great deal,White,1946,Female,4-year degree,.958801780636491,90.0,10.0,9.0,3.0,3.0,3.0,8.0,50.0,50.0,50.0,50.0,50.0,6.0,5,60.0,10.0,81.0,81.0,20,9.0,41.0,29.0,30.0,3.0,50,31,50,90.0,41.0,50,21.0,31.0,4.0,70.0,-81.0,dislike,74,5476,9.0,9.0,9.0,False,False,False
49,Rural,Hillary Clinton,False,Joe Biden, ,A little worried,Moderate,Independent,Neither favor nor oppose,Oppose strongly,Favor a little,Neither favor nor oppose,White,1956,Male,High school graduate,.897550307642941,10.0,80.0,61.0,55.0,69.0,56.0,50.0,71.0,71.0,71.0,70.0,69.0,50.0,70,80.0,80.0,50.0,50.0,56,19.0,68.0,50.0,59.0,50.0,76,75,72,51.0,62.0,84,50.0,51.0,49.0,78.0,51.0,neutral,64,4096,61.0,61.0,61.0,True,False,False
50,Town,Hillary Clinton,False,Joe Biden,"climate change, immigration, the splitting of American people",A little worried,Liberal,Democrat,Favor a little,Oppose strongly,Favor a little,Favor a little,White,1950,Female,Post-graduate,1.02996454702489,1.0,,71.0,83.0,83.0,79.0,50.0,84.0,86.0,81.0,84.0,81.0,50.0,70,66.0,66.0,49.0,48.0,47,28.0,50.0,27.0,47.0,43.0,70,59,56,60.0,61.0,71,48.0,50.0,52.0,63.0,70.0,like,70,4900,71.0,71.0,71.0,True,False,True
